ID,Date,Period,Site,Transect,Morphogroup,Family,Genus,Notes,
31Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
32Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
33Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
34Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
35Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
36Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
37Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
38Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
39Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
40Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
41Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
42Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
43Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
44Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
45Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
46Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
47Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
48Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
49Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
50Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,missing abdomen,
51Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
52Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
58Aso42,0022-06-29,2,Asotin,4,SB,Andrenidae,Andrena,,
59Aso42,0022-06-29,2,Asotin,4,SB,Andrenidae,Andrena,,
60Aso42,0022-06-29,2,Asotin,4,SB,Andrenidae,Andrena,,
65Aso42,0022-06-29,2,Asotin,4,SB,Andrenidae,Andrena,,
66Aso42,0022-06-29,2,Asotin,4,SB,Andrenidae,Andrena,,
67Aso42,0022-06-29,2,Asotin,4,SB,Andrenidae,Andrena,,
75Aso42,0022-06-29,2,Asotin,4,SB,Andrenidae,Andrena,,
1Ck11,0022-06-07,1,Clark1,1,OLB,Andrenidae,Andrena,,
2Ck11,0022-06-07,1,Clark1,1,OLB,Andrenidae,Andrena,,
3Ck11,0022-06-07,1,Clark1,1,OLB,Andrenidae,Andrena,,
2Ck31,0022-06-07,1,Clark1,3,OLB,Andrenidae,Andrena,,
9Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
10Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
11Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
12Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
13Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
14Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
15Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
16Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
25Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
26Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
27Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
28Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
29Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
30Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
31Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
32Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
33Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
34Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
35Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
36Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
37Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
38Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,missing head,
39Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
40Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
41Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
42Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
43Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
44Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
45Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
46Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
47Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
48Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
49Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
50Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
51Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
52Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
53Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
54Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,,
57Ck41,0022-06-07,1,Clark1,4,OLB,Andrenidae,Andrena,weird color morph?,
71Ck41,0022-06-07,1,Clark1,4,SB,Andrenidae,Andrena,,
6SH12,0022-07-08,2,Smoot ,1,OLB,Andrenidae,Andrena,,
1SH32,0022-07-08,2,Smoot ,3,OLB,Andrenidae,Andrena,,
2SH32,0022-07-08,2,Smoot ,3,OLB,Andrenidae,Andrena,,
4SH32,0022-07-08,2,Smoot ,3,OLB,Andrenidae,Andrena,,
2SH21,0022-06-21,1,Smoot ,2,OLB,Andrenidae,Andrena,,
8SH21,0022-06-21,1,Smoot ,2,SB,Andrenidae,Andrena,,
3SH31,0022-06-21,1,Smoot ,3,OLB,Andrenidae,Andrena,,
13SH31,0022-06-21,1,Smoot ,3,OLB,Andrenidae,Andrena,,
14SH31,0022-06-21,1,Smoot ,3,OLB,Andrenidae,Andrena,,
16SH31,0022-06-21,1,Smoot ,3,SB,Andrenidae,Andrena,,
19SH31,0022-06-21,1,Smoot ,3,SB,Andrenidae,Andrena,,
21SH31,0022-06-21,1,Smoot ,3,OLB,Andrenidae,Andrena,,
27SH31,0022-06-21,1,Smoot ,3,SB,Andrenidae,Andrena,,
30SH31,0022-06-21,1,Smoot ,3,SB,Andrenidae,Andrena,,
32SH31,0022-06-21,1,Smoot ,3,OLB,Andrenidae,Andrena,"Abdomen missing, recovered",
33SH31,0022-06-21,1,Smoot ,3,OLB,Andrenidae,Andrena,,
34SH31,0022-06-21,1,Smoot ,3,SB,Andrenidae,Andrena,,
35SH31,0022-06-21,1,Smoot ,3,SB,Andrenidae,Andrena,,
44SH31,0022-06-21,1,Smoot ,3,SB,Andrenidae,Andrena,,
45SH31,0022-06-21,1,Smoot ,3,SB,Andrenidae,Andrena,,
46SH31,0022-06-21,1,Smoot ,3,SB,Andrenidae,Andrena,,
4SH41,0022-06-21,1,Smoot ,4,OLB,Andrenidae,Andrena,,
13SH41,0022-06-21,1,Smoot ,4,OLB,Andrenidae,Andrena,,
14SH41,0022-06-21,1,Smoot ,4,SB,Andrenidae,Andrena,,
20SH41,0022-06-21,1,Smoot ,4,SB,Andrenidae,Andrena,,
1Hut12,0022-07-07,2,Hutchins,1,OLB,Andrenidae,Andrena,,
8Hut22,0022-07-07,2,Hutchins,2,OLB,Andrenidae,Andrena,,
10Hut32,0022-07-07,2,Hutchins,3,SB,Andrenidae,Andrena,,
13Hut42,0022-07-07,2,Hutchins,4,OLB,Andrenidae,Andrena,,
1Chpp42,0022-07-05,2,Chipman2,4,SB,Andrenidae,Andrena,,
1Plaz33,0022-08-02,3,Plaza,3,SB,Megachilidae,Anthidium,sp: manicatum,
2Kam42,0022-06-30,2,Kamiak,4,SB,Megachilidae,Anthidium,,
2Aso31,0022-06-08,1,Asotin,3,OLB,Apidae,Anthophora,,
2Kam21,0022-06-15,1,Kamiak,2,BB,Apidae,Anthophora,,
4Chpp11,0022-06-02,1,Chipman2,1,HB,Apidae,Apis,"Apis mellifera, some pollen on leg",
4Kam11,0022-06-15,1,Kamiak,1,HB,Apidae,Apis,,
13Aso43,0022-07-21,3,Asotin,4,HB,Apidae,Apis,mellifera,
1Chp12,0022-07-05,2,Chipman1,1,HB,Apidae,Apis,mellifera,
1Chp32,0022-07-05,2,Chipman1,3,HB,Apidae,Apis,mellifera,
2Chp32,0022-07-05,2,Chipman1,3,HB,Apidae,Apis,mellifera,
3Chp32,0022-07-05,2,Chipman1,3,HB,Apidae,Apis,mellifera,
4Chp32,0022-07-05,2,Chipman1,3,HB,Apidae,Apis,mellifera,
2Chp42,0022-07-05,2,Chipman1,4,HB,Apidae,Apis,mellifera,
3Chp42,0022-07-05,2,Chipman1,4,HB,Apidae,Apis,mellifera,
1Aso12,0022-06-29,2,Asotin,1,HB,Apidae,Apis,mellifera,
1Kam13,0022-07-19,3,Kamiak,1,BB,Apidae,Bombus,,
1SH33,0022-07-27,3,Smoot,3,BB,Apidae,Bombus,,
1SH43,0022-07-27,3,Smoot,3,BB,Apidae,Bombus,,
2SH43,0022-07-27,3,Smoot,3,BB,Apidae,Bombus,,
1Chpp43,0022-07-25,3,Chipman2,4,BB,Apidae,Bombus,,
1Ck13,0022-07-26,3,Clark1,1,BB,Apidae,Bombus,,
15Chp33,0022-07-25,3,Chipman1,3,BB,Apidae,Bombus,,
16Chp33,0022-07-25,3,Chipman1,3,BB,Apidae,Bombus,,
1Span33,0022-08-02,3,Spangle,3,BB,Apidae,Bombus,,
1Aso33,0022-07-21,3,Asotin,3,BB,Apidae,Bombus,,
2Aso33,0022-07-21,3,Asotin,3,BB,Apidae,Bombus,,
1Aso43,0022-07-21,3,Asotin,4,BB,Apidae,Bombus,,
2Aso43,0022-07-21,3,Asotin,4,BB,Apidae,Bombus,,
4Chp42,0022-07-05,2,Chipman1,4,BB,Apidae,Bombus,,
1Aso22,0022-06-29,2,Asotin,2,BB,Apidae,Bombus,,
1Chpp41,0022-06-02,1,Chipman2,4,SB,Apidae,Ceratina,Male,
2Chpp41,0022-06-02,1,Chipman2,4,SB,Apidae,Ceratina,Male,
3Chpp41,0022-06-02,1,Chipman2,4,SB,Apidae,Ceratina,Male,
5Chpp41,0022-06-02,1,Chipman2,4,SB,Apidae,Ceratina,Female,
6Chpp41,0022-06-02,1,Chipman2,4,SB,Apidae,Ceratina,Male,
7Chpp41,0022-06-02,1,Chipman2,4,SB,Apidae,Ceratina,Female,
8Chpp41,0022-06-02,1,Chipman2,4,SB,Apidae,Ceratina,Male,
10Chpp41,0022-06-02,1,Chipman2,4,SB,Apidae,Ceratina,Male,
12Chpp41,0022-06-02,1,Chipman2,4,SB,Apidae,Ceratina,Male,
14Chpp41,0022-06-02,1,Chipman2,4,SB,Apidae,Ceratina,Male,
15Chpp41,0022-06-02,1,Chipman2,4,SB,Apidae,Ceratina,Male,
22Chpp41,0022-06-02,1,Chipman2,4,SB,Apidae,Ceratina,Male,
23Chpp41,0022-06-02,1,Chipman2,4,SB,Apidae,Ceratina,Male. Abdomen missing,
24Chpp41,0022-06-02,1,Chipman2,4,SB,Apidae,Ceratina,Male,
26Chpp41,0022-06-02,1,Chipman2,4,SB,Apidae,Ceratina,Male,
1Chpp31,0022-06-02,1,Chipman2,3,SB,Apidae,Ceratina,Male,
2Chpp31,0022-06-02,1,Chipman2,3,SB,Apidae,Ceratina,Male,
3Chpp31,0022-06-02,1,Chipman2,3,SB,Apidae,Ceratina,Male,
4Chpp31,0022-06-02,1,Chipman2,3,SB,Apidae,Ceratina,Male,
5Chpp31,0022-06-02,1,Chipman2,3,SB,Apidae,Ceratina,Male,
6Chpp31,0022-06-02,1,Chipman2,3,SB,Apidae,Ceratina,Male,
7Chpp31,0022-06-02,1,Chipman2,3,SB,Apidae,Ceratina,Male, 
8Chpp31,0022-06-02,1,Chipman2,3,SB,Apidae,Ceratina,Male,
10Chpp31,0022-06-02,1,Chipman2,3,SB,Apidae,Ceratina,Male,
11Chpp31,0022-06-02,1,Chipman2,3,SB,Apidae,Ceratina,Male,
12Chpp31,0022-06-02,1,Chipman2,3,SB,Apidae,Ceratina,Male,
13Chpp31,0022-06-02,1,Chipman2,3,SB,Apidae,Ceratina,Female,
14Chpp31,0022-06-02,1,Chipman2,3,SB,Apidae,Ceratina,Male,
15Chpp31,0022-06-02,1,Chipman2,3,SB,Apidae,Ceratina,Male,
16Chpp31,0022-06-02,1,Chipman2,3,SB,Apidae,Ceratina,Male,
