Date,Period,Site,CollectedBy,Type,Transect,CommonName,Family ,Genus,Species,Amount ,FloralUnits,Pressed,Notes,HerbariumNumber,inatEntry
6/7/2022,PreBloom,Clark1,ML,Herb,2,Miners lettuce,Montiaceae,Claytonia,perfoliata,7,7,no,,,
6/7/2022,PreBloom,Clark1,ML,Herb,4,Miners lettuce,Montiaceae,Claytonia,perfoliata,7,7,no,,,
6/7/2022,PreBloom,Clark1,ML,Herb,2,forget-me-not,Boraginaceae,Myosotis,sp,8,8,no,Switched family and genus,,
6/7/2022,PreBloom,Clark1,ML,Herb,2,Prairie Smoke,Rosaceae,Geum,triflorum,10,12,no,,,
6/7/2022,PreBloom,Clark1,ML,Herb,4,Burr Chervil,Apiaceae,Anthiscus,caucalis,15,78,Yes,,,
6/7/2022,PreBloom,Clark1,ML,Woody,4,Chokecherry,Rosaceae,Prunus,virginiana,28,NA,no,,,
7/26/2022,DeclineBloom,Clark2,OS,Herb,3,Collomia,Polemoniaceae,Collomia,grandiflora,2,11,no,,,
7/26/2022,DeclineBloom,Clark2,OS,Woody,4,Black Hawthorn,Rosaceae,Crataegus,douglasii,11,,no,,,
6/28/2022,PeakBloom,Clark2,OS,Herb,4,Eastern white-bryony,Curcubitaceae,Bryonia,alba,1,19,yes,"vine, yellow flowers",72,
6/28/2022,PeakBloom,Clark2,SH,Herb,1,small-flowered blue-eyed mary,Plantaginaceae,Collinsia,parviflora,2,2,yes,,,
6/28/2022,PeakBloom,Clark2,SH,Herb,1,miners lettuce,Montiaceae,Claytonia,perfoliata,3,3,yes,,52,
6/28/2022,PeakBloom,Clark2,SH,Herb,1,Hairy clematis,Ranunculaceae,Clematis,hirsutissima,4,4,yes,,,
6/28/2022,PeakBloom,Clark2,OS,Woody,4,Rose,Rosaceae,Rosa,sp,4,NA,no,"pink roses, inat photo",,yes
6/28/2022,PeakBloom,Clark2,SH,Herb,1,lava alumroot,Saxifragaceae,Heuchera,cylindrica,7,7,yes,,,
6/28/2022,PeakBloom,Clark2,SH,Herb,1,little sunflower,Asteraceae,Helianthella,uniflora,22,25,yes,,,
6/28/2022,PeakBloom,Clark2,OS,Herb,2,miners lettuce,Montiaceae,Claytonia,perfoliata,28,38,yes,,,
6/7/2022,PreBloom,Clark2,ML,Herb,1,Arrowleaf Balsamroot,Asteraceae,Balsamorhiza,sagittata,1,6,no,,,
6/7/2022,PreBloom,Clark2,ML,Herb,2,tall ragwort,Asteraceae,Senecio,sericeus,1,1,yes,,23,
6/7/2022,PreBloom,Clark2,ML,Herb,4,Tall ragwort,Asteraceae,Senecio,sericeus,2,2,yes,,23,
6/7/2022,PreBloom,Clark2,ML,Herb,3,Miners lettuce,Montiaceae,Claytonia,perfoliata,3,3,no,mostly done blooming,,
6/7/2022,PreBloom,Clark2,ML,Herb,1,forget-me-not,Boraginaceae,Myosotis,laxa,4,9,yes,,25,
6/7/2022,PreBloom,Clark2,ML,Herb,1,Low larkspur,Ranunculaceae,Delphinium,nuttallianum,5,5,yes,,,
6/7/2022,PreBloom,Clark2,ML,Herb,2,small-flowered blue-eyed mary,Plantaginaceae,Collinsia,parviflora,5,5,no,See Tr1 specimen,,
6/7/2022,PreBloom,Clark2,ML,Herb,2,Miner's lettuce,Montiaceae,Claytonia,perfoliata,5,5,no,,,
6/7/2022,PreBloom,Clark2,ML,Herb,4,Slender phlox,Polemoniaceae,Microsteris,gracilis,7,7,no,See Tr1 specimen,,
6/7/2022,PreBloom,Clark2,ML,Herb,2,Slender phlox,Polemoniaceae,Microsteris,gracilis,9,9,no,See Tr1 specimen,,
6/7/2022,PreBloom,Clark2,ML,Herb,1,small-flowered blue-eyed mary,Plantaginaceae,Collinsia,parviflora,12,12,yes,,,
6/7/2022,PreBloom,Clark2,ML,Herb,3,Large flowered triteleia,Liliaceae,Triteleia,grandiflora,14,14,no,,,
6/7/2022,PreBloom,Clark2,ML,Herb,3,Catchweed,Rubiaceae,Galium,aparine,15,15,no,See Tr2 specimen,,
6/7/2022,PreBloom,Clark2,ML,Herb,4,Miners lettuce,Montiaceae,Claytonia,perfoliata,15,15,yes,,,
6/7/2022,PreBloom,Clark2,ML,Herb,4,Catchweed,Rubiaceae,Galium,aparine,16,16,no,,,
6/7/2022,PreBloom,Clark2,ML,Herb,4,forget-me-not,Boraginaceae,Myosotis,laxa,24,24,no,See Tr1 specimen,,
6/7/2022,PreBloom,Clark2,ML,Herb,1,Slender phlox,Polemoniaceae,Microsteris,gracilis,35,35,yes,,29,
7/20/2022,DeclineBloom,Hutchins,OS,Herb,3,Cotton thistle,Asteraceae,Onopordum,acanthium,1,5,yes,inat pic,61.5,Yes
7/20/2022,DeclineBloom,Hutchins,OS,Herb,2,hairy vetch,Fabaceae,Vicia,villosa,6,2,no,On its way out,,
7/20/2022,DeclineBloom,Hutchins,OS,Herb,4,yellow-star thistle,Asteraceae,Centaurea,solstitialis,40,21,no,inat pic,,Yes
7/7/2022,PeakBloom,Hutchins,OS,Herb,3,tumble mustard,Brassicaceae,Sisymbrium,altissimum,3,50,no,,,
7/7/2022,PeakBloom,Hutchins,OS,Herb,3,silky lupine,Fabaceae,Lupinus,sericeus,4,6,no,,,
7/7/2022,PeakBloom,Hutchins,CW,Herb,1,silky lupine,Fabaceae,Lupinus,sericeus,5,1,no,,,
7/7/2022,PeakBloom,Hutchins,CW,Herb,2,hairy vetch,Fabaceae,Vicia,villosa,25,100,no,approx.,,
6/16/2022,PreBloom,Hutchins,OS,Herb,1,Hairy Vetch,Fabaceae,Vicia,villosa,3,3,yes,,,
6/16/2022,PreBloom,Hutchins,OS,Herb,3,silky lupine,Fabaceae,Lupinus,sericeus,11,4,yes,Silky or velvet lupine?,,
6/16/2022,PreBloom,Hutchins,OS,Herb,4,Hairy Vetch,Fabaceae,Vicia,villosa,12,18,no,,,
6/16/2022,PreBloom,Hutchins,OS,Herb,2,silky lupine,Fabaceae,Lupinus,sericeus,36,26,no,See T3 specimen,,
6/16/2022,PreBloom,Hutchins,OS,Herb,3,Menzie's fiddleneck,Boraginaceae,Amsinckia,menziesii,58,31,yes,little yellow,67,
6/16/2022,PreBloom,Hutchins,OS,Herb,2,Menzie's fiddleneck,Boraginaceae,Amsinckia,menziesii,62,40,no,"little yellow, see T3 specimen",,
7/19/2022,DeclineBloom,Kamiak,OS,Herb,3,hairy vetch,Fabaceae,Vicia,villosa,1,9,no,,,
